X,Y,LINEA,QUADRO,RECNO,PALO,ARMATURA,LAMPADA,indirizzo,Data_Attiv
18.191424283694982,40.465885782200779,A,49,2,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Del Bambu,
18.191435394155214,40.466120293549601,A,49,3,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Del Bambu,
18.190962377899105,40.466411233507934,A,49,5,Palo Rastremato Zincato 11,Nova,Sodio AP 100,Via Del Tiglio,
18.191616240715632,40.466260100129816,A,49,6,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Del Tiglio,
18.191322203163036,40.466326930967071,A,49,4,Palo Rastremato Zincato 11,Nova,Sodio AP 150,Via Del Tiglio,
18.191950661974701,40.466180411393481,A,49,7,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Del Tiglio,
18.192133526630499,40.466038379320366,A,49,8,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Delle Mimose,
18.19212241377425,40.465803868127907,A,49,9,Palo Rastremato Zincato 11,Nova,Sodio AP 100,Via Delle Mimose,
18.191816223869445,40.46572231780732,A,49,10,Palo Rastremato Zincato 11,Oyster 2 VP,Sodio AP 150,Via Del Salice,
18.19132678291259,40.465450149012113,B,49,1,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Dell'Impia,
18.19178716723497,40.465433511558707,B,49,2,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Dell'Impia,
18.192318824832466,40.465407074732866,B,49,3,Palo Rastremato Zincato 11,Nova,Sodio AP 100,Via Dell'Impia,
18.192697514734622,40.465396605615155,B,49,4,Palo Rastremato Zincato 11,Nova,Vapori Di Mercurio BF 250,Via Dell'Impia,
18.193204140103759,40.465382597696639,B,49,5,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Dell'Impia,
18.193521235165377,40.465369915417149,B,49,6,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Dell'Impia,
18.182665012919301,40.325760534832945,A,483,1,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Leuca Tempi Nuovi,
18.183084977671317,40.324770477712342,A,483,4,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Leuca Tempi Nuovi,
18.182817610444758,40.32540206170453,A,483,2,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Leuca Tempi Nuovi,
18.182950832947149,40.325098518915233,A,483,3,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Leuca Tempi Nuovi,
18.182477665819462,40.325790224424999,A,483,10,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Scipione Fanuli,
18.182028812331215,40.325648746890053,A,483,9,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Scipione Fanuli,
18.181844331473087,40.325283500305538,A,483,8,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Scipione Fanuli,
18.182769315875479,40.324721933710833,A,483,5,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Scipione Fanuli,
18.182459009435227,40.324795881080526,A,483,6,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Scipione Fanuli,
18.182141031117396,40.325053827996392,A,483,7,Palo Conico Verniciato 12,Oyster 3 VP,Sodio AP 250,Via Scipione Fanuli,
18.273934883773062,40.384529498236752,A,174,2,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Lamia,
18.273762524621826,40.384425393644193,A,174,3,Palo Rastremato Zincato 11,Oyster 3 VP,Sodio AP 150,Via Lamcellotto Malocello,
18.273360740236626,40.384318312396019,A,174,4,Palo Rastremato Zincato 11,Oyster 3 VP,Sodio AP 150,Via Lamcellotto Malocello,
18.27300296292329,40.38422419891846,A,174,5,Palo Rastremato Zincato 11,Oyster 3 VP,Sodio AP 150,Via Lamcellotto Malocello,
18.272551215997346,40.38410905301113,A,174,6,Palo Rastremato Zincato 11,Oyster 3 VP,Sodio AP 150,Via Lamcellotto Malocello,
18.272168458434976,40.384010905886818,A,174,7,Palo Rastremato Zincato 11,Oyster 3 VP,Sodio AP 150,Via Lamcellotto Malocello,
18.27184185475679,40.383920644446164,A,174,8,Palo Rastremato Zincato 11,Oyster 3 VP,Sodio AP 150,Via Lamcellotto Malocello,
18.273991029365394,40.384281497008267,A,174,9,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Lamia,
18.27408476292694,40.384041907788621,A,174,10,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Lamia,
18.274183996067332,40.383787946659737,A,174,11,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Lamia,
18.274317605551008,40.383476147262805,A,174,12,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Lamia,
18.27447183803481,40.38307846737537,A,174,13,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Lamia,
18.274621715692565,40.38271881996652,A,174,14,Palo Rastremato Zincato 11,Nova,Sodio AP 250,Via Lamia,
